# Historical card-definition IDs keyed by canonical debut-art Scryfall UUID.
# scryfall_id historical_id symbol
f594b7aa-d44e-47c4-989b-565f881e25f1 1 ANKH_OF_MISHRA
2249fc40-4412-48fd-800a-7ea3678aee3f 2 ATOG
c1ba83ab-83f5-421d-bba1-0f925870b5c8 3 BALL_LIGHTNING
76ac72f8-5b1e-4d67-a796-ef69cde27424 4 BLACK_VISE
78373616-e2d6-4ccf-998f-09f02bea45b4 5 BLOOD_MOON
b5883762-ca0a-4932-8d2a-41a45796a5f8 6 CHAIN_LIGHTNING
30935e4a-013e-4c46-ad05-304df8e5dfa4 7 COPPER_TABLET
ffd7eb90-ae95-49df-898a-9510187bce1c 8 DETONATE
b7623c00-144b-4a8f-9c6c-f5e9e4f65ece 9 FIREBALL
e6b43916-fe2d-417a-a550-d7c795023297 10 FORK
cafc2350-5d64-4379-9198-79a114654d45 11 GLASSES_OF_URZA
5786de12-cade-43c2-a6b0-0c5b294b9d0e 12 IRON_STAR
d573ef03-4730-45aa-93dd-e45ac1dbaf4a 13 LIGHTNING_BOLT
eace2c85-976c-425e-9800-5a6ccbd91b56 14 MOUNTAIN
776ad9be-3309-4f1d-9f27-6219d9477662 15 RED_ELEMENTAL_BLAST
50dc7fc1-cb6a-4c68-b993-1a25cf16226e 16 SHATTER
7c67788e-d713-47c3-ab9f-b8a6212ae24f 17 SMOKE
7ffaedb9-25f8-4304-9085-e12505b93312 18 STONE_GIANT
a64d4f93-0c04-4078-aec0-7e9de92f260f 19 SU_CHI
9359f60c-9a27-4e53-b35b-964a121a6fba 20 WINTER_ORB
b0faa7f2-b547-42c4-a810-839da50dadfe 21 BLACK_LOTUS
92274971-7c4a-4326-b0fe-75e2d124f718 22 CHAOS_ORB
6bbf1eab-bc32-4835-b566-8634b1fe81b0 23 DRAGON_WHELP
5129b422-7a35-4bc5-b14b-c814012a0d8f 24 GOBLIN_BALLOON_BRIGADE
8a538b9d-351e-40bb-be11-9ba08c16352b 25 GOBLIN_DIGGING_TEAM
8837eaba-9602-4f63-9897-85583fcdcf51 26 GOBLIN_GRENADE
5873672d-37ea-4c0f-97f3-12b74fde112d 27 GOBLIN_KING
fd333b18-b896-4ab8-9c46-eed4efdd94f2 28 GOBLINS_OF_THE_FLARG
f15bf2b2-6848-4fbd-b89a-8d8da8ae1cdc 29 GRANITE_GARGOYLE
d56421a8-34ae-4033-943f-c59a7bf2b6f9 30 IRONCLAW_ORCS
a696c5b6-f216-454d-8029-74e84bbd1428 31 MISHRA_S_FACTORY
b0e1427c-05cd-465b-be59-97ed6e39f7ba 32 MOX_EMERALD
92bcd1ce-19b1-4d78-8b09-95242ca08d76 33 MOX_JET
8ebe4be7-e12a-4596-a899-fbd5b152e879 34 MOX_PEARL
8945585f-4773-493d-a0fe-d707db910b38 35 MOX_RUBY
82da0972-b17b-4600-9efd-e9430a0db04b 36 MOX_SAPPHIRE
5e34fc6b-5f00-4a22-9ee2-afc1caf99961 37 ORCISH_MECHANICS
c4300d24-1cae-4dd5-be7e-38cc677cf5bd 38 SOL_RING
e7880157-7f27-4f1b-9cdc-ab36a6252376 39 STRIP_MINE
67b369c4-faa8-45c8-a1b9-98f228b69682 40 WHEEL_OF_FORTUNE
dcd6a291-5282-4f49-8203-d9b416083c48 41 JUGGERNAUT
19499cb7-eccb-4e69-af32-6002d447a160 42 MANA_VAULT
a79c99e1-722a-44b6-8fa3-2be3f0c193d8 43 TRISKELION
70e7ddf2-5604-41e7-bb9d-ddd03d3e9d0b 44 ANCESTRAL_RECALL
62b19a12-6914-430e-81ce-dcfca47884df 45 BRAINGEYSER
0df55e3f-14de-46ef-b6b1-616618724d9e 46 COUNTERSPELL
2722d7e2-61c6-4934-9c21-875ee78fd06c 47 DISENCHANT
dc47e322-f8b8-4685-b035-fda0cc433e6b 48 FELLWAR_STONE
90a57c0e-fa61-45ef-955d-d296403967d5 49 ISLAND
a5f23039-45ca-4c15-af50-bfd40ea26453 50 IVORY_TOWER
cac8c421-5b92-481d-b2de-560c0231ab58 51 JAYEMDAE_TOME
b1623d57-4729-4796-b3f7-f1837a05c6ed 52 PLAINS
f8ac5006-91bd-4803-93da-f87cf196dd2f 53 SERRA_ANGEL
386ea9eb-abc1-4862-aa2d-8fb808d79490 54 SWORDS_TO_PLOWSHARES
e0139f60-d48e-46fb-9f5a-1e3d7558c834 55 TIME_WALK
a03e8c5b-f4ed-4fd7-ba05-db813ccc05eb 56 TUNDRA
